model,precision,recall,f1,detection_latency_sec,log_likelihood,aic,bic,fit_time_sec
hawkes,0.245,0.976,0.392,1.0,39.38,-72.76,-59.67,0.1434
mmpp,1.0,1.0,1.0,0.0,-444.99,905.98,935.61,0.0203
