model,precision,recall,f1,detection_latency_sec,log_likelihood,aic,bic,fit_time_sec
hawkes,0.0,0.0,0.0,,-3.83,13.67,9.74,0.0043
mmpp,0.0,0.0,0.0,,7.35,1.3,-1.82,0.0221
